tpm,treatment,tissue
0.945729,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
7.87368,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
1.63581,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
8.10339,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
3.51507,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.381197,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
6.894539999999999,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
5.90106,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
5.8219699999999985,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
1.45912,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
2.94378,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
1.55695,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
6.08635,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
1.05708,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
2.46519,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
1.21666,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
4.86669,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.467671,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
4.22025,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
4.62293,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
3.59047,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
1.13869,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
2.83951,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.763055,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
0.0,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
6.07636,Hyaloperonospora arabidopsidis_Waco9/aerial shoot,aerial shoot
